series_code,series,unit,date_basis,1948,1949,1950,1951,1952,source_id,report_vintage,printed_page,verification
10,National Bank total assets,millions of US dollars,20 March of following year,273,243,252,190,173,SUP-057,1953-08,100,image-checked
11,National Bank gold,millions of US dollars,20 March of following year,140,140,139,138,137,SUP-057,1953-08,100,image-checked
12,National Bank foreign exchange,millions of US dollars,20 March of following year,134,103,118,52,36,SUP-057,1953-08,100,image-checked
20,Total exports,billions of rials,year beginning 21 March,19.01,17.17,25.75,11.27,5.88,SUP-057,1953-08,100,image-checked
21,Petroleum exports,billions of rials,year beginning 21 March,17.14,15.39,22.18,6.93,NA,SUP-057,1953-08,100,image-checked
22,Total imports c.i.f.,billions of rials,year beginning 21 March,5.48,9.30,6.98,7.37,5.20,SUP-057,1953-08,100,image-checked
24,Oil company payments to Iran,billions of rials,year beginning 21 March,1.19,1.22,1.49,NA,NA,SUP-057,1953-08,100,image-checked
30,National Bank and other banks foreign assets,billions of rials,20 March of following year,8.79,7.80,8.09,6.11,5.58,SUP-057,1953-08,100,image-checked
31,Domestic loans and investments,billions of rials,20 March of following year,10.18,10.96,13.02,14.61,NA,SUP-057,1953-08,100,image-checked
50,Money supply,billions of rials,20 March of following year,12.44,12.28,13.83,14.15,NA,SUP-057,1953-08,100,image-checked
51,Currency,billions of rials,20 March of following year,6.29,6.03,7.02,6.81,NA,SUP-057,1953-08,100,image-checked
52,Deposit money,billions of rials,20 March of following year,6.15,6.24,6.80,7.34,NA,SUP-057,1953-08,100,image-checked
54,Government deposits,billions of rials,20 March of following year,1.78,2.08,1.83,1.50,NA,SUP-057,1953-08,100,image-checked
80,Wholesale prices all goods,index 1948=100,year ending December,100,93,79,89,93,SUP-057,1953-08,100,image-checked
84,Cost of living,index 1948=100,year ending December,100,109,89,93,101,SUP-057,1953-08,100,image-checked
90,Crude petroleum production,index 1948=100,year ending December,100,108,128,67,5,SUP-057,1953-08,100,image-checked
